训练轮数,平均损失,识别准确率
1,2.8763505501352298,0.0
2,1.0817912170888893,0.46875
3,0.028154444296482454,0.71171875
4,0.017366245844264983,0.9109375
5,0.010070673020254037,0.9984375
6,0.007157204772055054,0.98671875
7,0.011052558825137747,0.328125
8,0.004565819551809364,0.996875
9,0.0016653576734546975,0.99765625
10,0.0029452595410046946,0.99140625
